raceId,driverId,total_laps,avg_lap_time,total_race_time,lap_time_std,num_pit_stops,total_pit_time,driver_name,positionOrder,grid,points,statusId,circuitId,position_tier
1,1,58,97563.75862068965,5658698,16066.158257927875,0.0,0.0,Lewis Hamilton,20,18,0.0,2,1,2
1,2,58,97635.6724137931,5662869,14275.663644988266,0.0,0.0,Nick Heidfeld,10,9,0.0,1,1,1
1,3,58,97612.1724137931,5661506,16311.606141552105,0.0,0.0,Nico Rosberg,6,5,3.0,1,1,1
1,4,58,97597.63793103448,5660663,16337.006697956098,0.0,0.0,Fernando Alonso,5,10,4.0,1,1,1
1,6,17,91822.23529411765,1560978,3476.084498566808,0.0,0.0,Kazuki Nakajima,18,11,0.0,3,1,2
1,7,58,97622.10344827586,5662082,13483.433865159433,0.0,0.0,Sébastien Bourdais,8,17,1.0,1,1,1
1,8,55,97078.2,5339301,15110.488166980058,0.0,0.0,Kimi Räikkönen,15,7,0.0,24,1,2
1,9,55,95160.6909090909,5233838,14457.764584231689,0.0,0.0,Robert Kubica,14,4,0.0,4,1,2
1,10,58,97589.9827586207,5660219,16013.240225153351,0.0,0.0,Timo Glock,4,19,5.0,1,1,1
1,12,24,101765.58333333333,2442374,19916.075088964575,0.0,0.0,Nelson Piquet Jr.,17,14,0.0,20,1,2
1,13,45,97002.35555555555,4365106,15651.280610044134,0.0,0.0,Felipe Massa,16,6,0.0,22,1,2
1,15,58,97541.1724137931,5657388,16254.859975153808,0.0,0.0,Jarno Trulli,3,20,6.0,1,1,0
1,16,58,97622.74137931035,5662119,14862.917844816557,0.0,0.0,Adrian Sutil,9,16,0.0,1,1,1
1,17,57,99231.52631578948,5656197,17914.27977810007,0.0,0.0,Mark Webber,12,8,0.0,11,1,2
1,18,58,97513.5172413793,5655784,21739.205988858317,0.0,0.0,Jenson Button,1,1,10.0,1,1,0
1,20,56,96325.44642857143,5394225,18215.44877287073,0.0,0.0,Sebastian Vettel,13,3,0.0,4,1,2
1,21,58,97640.6551724138,5663158,15242.933002233753,0.0,0.0,Giancarlo Fisichella,11,15,0.0,1,1,2
1,22,58,97527.43103448275,5656591,16828.34139090494,0.0,0.0,Rubens Barrichello,2,2,8.0,1,1,0
1,67,58,97617.03448275862,5661788,15689.146563581044,0.0,0.0,Sébastien Buemi,7,13,2.0,1,1,1
2,1,31,109398.54838709677,3391355,14261.50955740359,0.0,0.0,Lewis Hamilton,7,12,1.0,1,2,1
2,2,31,108172.3870967742,3353344,11908.317224185288,0.0,0.0,Nick Heidfeld,2,10,4.0,1,2,0
